req_type,count,success_count,success_rate,mean_e2e_s,p99_e2e_s
1024x1024_25,218,218,1.0,1377.6634196517205,2753.057696739839
1536x1536_35,83,83,1.0,1315.587870443056,2527.834161186839
512x512_20,68,68,1.0,1199.6004904557537,2577.8960909226803
768x768_20,131,131,1.0,1251.2732366536166,2647.371511152084
