req_idx,case_name,width,height,steps,num_frames,fps,ok,error,video_id,submit_ts,accepted_ts,completed_ts,create_api_s,e2e_s
16,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_0386d13feaf747abbfbd67f4bccb4114,1776447555.242076,1776447555.4324787,1776450116.3060517,0.19040203106123954,2561.0639758110046
17,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_acd477f9d27844e0bba024616c5d16a2,1776447555.2423658,1776447555.43154,1776450333.9839342,0.189173290040344,2778.74156832695
18,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_9ed0ca81bacf455eb481ab0eede3246b,1776447555.2426562,1776447555.4301066,1776450484.8601818,0.1874495919328183,2929.617525577545
19,case1_854x480_s3_f80_fps16,854,480,3,80,16,True,,video_gen_afea0bda15814de3a5bb051a19f3d999,1776447555.2429585,1776447555.4272313,1776447874.3695867,0.18427182896994054,319.1266281604767
20,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_3c932262a8074f3faed071015bc49884,1776447555.243252,1776447555.4094987,1776450636.625109,0.16624582803342491,3081.381856918335
21,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_dd8b24e9e803428cbb32f877d278bac9,1776447555.2435496,1776447555.4185731,1776448192.2769768,0.175022715004161,637.0334272384644
22,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_580df43b97c24cca953adc7d0bd77366,1776447555.243842,1776447555.430565,1776448445.2602508,0.18672269000671804,890.0164089202881
23,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_4ef6743a62694766baec14308a311cf1,1776447555.2441428,1776447555.4281354,1776450787.4625163,0.18399182497523725,3232.2183735370636
24,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_1fd3ac8c5e3844cdb206d7711815a20d,1776447555.244433,1776447555.427691,1776448696.126484,0.18325719190761447,1140.8820509910583
25,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_f07f0ded9d9e45d996331b976804a41b,1776447555.244728,1776447555.4286618,1776450937.5746136,0.18393299402669072,3382.329885482788
26,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_5089e8978edf4a97b1790757eae7006e,1776447555.245033,1776447555.4267106,1776451089.2487307,0.1816770660225302,3534.0036976337433
27,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_cf9be9ae863347268f5789ab05676239,1776447555.2453363,1776447555.4261818,1776451241.0584207,0.18084458203520626,3685.8130843639374
28,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_f308794fa16e4c1783f4987aa6fab0b4,1776447555.245631,1776447555.425698,1776451392.6534932,0.18006652896292508,3837.407862186432
29,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_91d08d6caf5a493d9aedd978c1fc4388,1776447555.2506192,1776447555.4252536,1776451545.3722134,0.17463316896464676,3990.1215941905975
30,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_d8b03179b4ec4fcab4f255f75a5b1d91,1776447555.2509978,1776447555.424791,1776449094.4312873,0.17379259399604052,1539.1802895069122
31,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_c56195c9bf4c401b8d2686d53fe4a8b1,1776447555.2513182,1776447555.4242942,1776451696.1389542,0.1729746910277754,4140.887635946274
