request_id,req_type,width,height,steps,seed,send_ts,arrival_ts,return_ts,backend,status_code,ok,e2e_s,error
baseline-00021,1024x1024_25,1024,1024,25,700021,1776523538.0028963,1776523541.7821913,1776523646.2087424,http://127.0.0.1:18294,200,True,108.2058486599708,
baseline-00022,768x768_20,768,768,20,700022,1776523538.0031698,1776523541.782211,1776523624.0408368,http://127.0.0.1:18295,200,True,86.03766850801185,
baseline-00023,768x768_20,768,768,20,700023,1776523538.0034378,1776523541.782501,1776523646.5731816,http://127.0.0.1:18296,200,True,108.56974519207142,
baseline-00024,1536x1536_35,1536,1536,35,700024,1776523538.003708,1776523541.7825274,1776524043.750504,http://127.0.0.1:18291,200,True,505.74679785908666,
baseline-00025,768x768_20,768,768,20,700025,1776523538.003985,1776523541.782549,1776523623.3346748,http://127.0.0.1:18292,200,True,85.33069303201046,
baseline-00026,512x512_20,512,512,20,700026,1776523538.0042653,1776523541.7826705,1776523586.4433246,http://127.0.0.1:18293,200,True,48.43906095495913,
baseline-00027,512x512_20,512,512,20,700027,1776523538.0045476,1776523541.7826972,1776523621.4162595,http://127.0.0.1:18294,200,True,83.41171304997988,
baseline-00028,1024x1024_25,1024,1024,25,700028,1776523538.0048242,1776523541.7830465,1776523648.9056952,http://127.0.0.1:18295,200,True,110.90087310993113,
baseline-00029,1024x1024_25,1024,1024,25,700029,1776523538.0050964,1776523541.783077,1776523741.3669534,http://127.0.0.1:18296,200,True,203.36185867199674,
baseline-00030,1024x1024_25,1024,1024,25,700030,1776523538.0053785,1776523541.7830992,1776523672.3097348,http://127.0.0.1:18291,200,True,134.3043583430117,
baseline-00031,1024x1024_25,1024,1024,25,700031,1776523538.00566,1776523541.783119,1776523585.802423,http://127.0.0.1:18292,200,True,47.79676542803645,
baseline-00032,1024x1024_25,1024,1024,25,700032,1776523538.005942,1776523541.7831442,1776523752.0820167,http://127.0.0.1:18293,200,True,214.07607633399311,
baseline-00033,1536x1536_35,1536,1536,35,700033,1776523538.0062242,1776523541.7835352,1776523919.1976182,http://127.0.0.1:18294,200,True,381.19139559508767,
baseline-00034,768x768_20,768,768,20,700034,1776523538.006503,1776523541.7835624,1776523624.041218,http://127.0.0.1:18295,200,True,86.03471614001319,
baseline-00035,1024x1024_25,1024,1024,25,700035,1776523538.006793,1776523541.7835844,1776523786.7950273,http://127.0.0.1:18296,200,True,248.7882360270014,
baseline-00036,1024x1024_25,1024,1024,25,700036,1776523538.0070806,1776523541.7836041,1776523712.9679294,http://127.0.0.1:18291,200,True,174.9608505689539,
