request_id,req_type,width,height,steps,seed,send_ts,arrival_ts,return_ts,backend,status_code,ok,e2e_s,error
baseline-00047,768x768_20,768,768,20,700047,1776515343.0221844,,1776515520.6929739,,200,True,177.67079268908128,
baseline-00048,1024x1024_25,1024,1024,25,700048,1776515343.0224745,,1776515667.4050975,,200,True,324.3826270980062,
baseline-00049,768x768_20,768,768,20,700049,1776515343.0227823,,1776515511.7406218,,200,True,168.7178431659704,
baseline-00050,768x768_20,768,768,20,700050,1776515343.0230827,,1776515590.4476864,,200,True,247.4246055149706,
baseline-00051,768x768_20,768,768,20,700051,1776515343.0233839,,1776515586.959234,,200,True,243.935853386065,
baseline-00052,768x768_20,768,768,20,700052,1776515343.0236754,,1776515518.4627252,,200,True,175.43905301194172,
baseline-00053,1536x1536_35,1536,1536,35,700053,1776515343.0239727,,1776515603.9376552,,200,True,260.9136862610467,
baseline-00054,1024x1024_25,1024,1024,25,700054,1776515343.0242677,,1776515691.7386127,,200,True,348.7143484050175,
baseline-00055,1024x1024_25,1024,1024,25,700055,1776515343.0245607,,1776515536.285675,,200,True,193.26111812889576,
baseline-00056,768x768_20,768,768,20,700056,1776515343.0248523,,1776515606.1170576,,200,True,263.0922091800021,
baseline-00057,1024x1024_25,1024,1024,25,700057,1776515343.0251522,,1776515611.4572635,,200,True,268.4321149820462,
baseline-00058,768x768_20,768,768,20,700058,1776515343.0254533,,1776515534.4688492,,200,True,191.44339756504633,
baseline-00059,768x768_20,768,768,20,700059,1776515343.0257545,,1776515618.5665662,,200,True,275.540816561901,
baseline-00060,1536x1536_35,1536,1536,35,700060,1776515343.0260475,,1776515775.2732878,,200,True,432.24724347901065,
baseline-00061,1024x1024_25,1024,1024,25,700061,1776515343.0263524,,1776515560.6815295,,200,True,217.6551804940682,
baseline-00062,1024x1024_25,1024,1024,25,700062,1776515343.0266542,,1776515630.4460874,,200,True,287.4194356560474,
baseline-00063,1024x1024_25,1024,1024,25,700063,1776515343.0269694,,1776515636.127505,,200,True,293.10053767694626,
baseline-00064,1024x1024_25,1024,1024,25,700064,1776515343.027277,,1776515558.9663777,,200,True,215.93910403794143,
baseline-00065,1024x1024_25,1024,1024,25,700065,1776515343.0275795,,1776515643.0990267,,200,True,300.0714517160086,
baseline-00066,768x768_20,768,768,20,700066,1776515343.027879,,1776515791.2225652,,200,True,448.1946875710273,
baseline-00067,512x512_20,512,512,20,700067,1776515343.0281878,,1776515576.5956838,,200,True,233.56749948405195,
baseline-00068,768x768_20,768,768,20,700068,1776515343.0284898,,1776515645.9995024,,200,True,302.9710144859273,
baseline-00069,768x768_20,768,768,20,700069,1776515343.028794,,1776515653.0612905,,200,True,310.03249808901455,
baseline-00070,768x768_20,768,768,20,700070,1776515343.0290978,,1776515575.5130477,,200,True,232.48395374999382,
baseline-00071,1536x1536_35,1536,1536,35,700071,1776515343.0296133,,1776515726.1354287,,200,True,383.1058167889714,
baseline-00072,1536x1536_35,1536,1536,35,700072,1776515343.0299644,,1776515875.193275,,200,True,532.1633116969606,
baseline-00073,768x768_20,768,768,20,700073,1776515343.0302908,,1776515593.6530557,,200,True,250.6227681810269,
baseline-00074,1024x1024_25,1024,1024,25,700074,1776515343.0305982,,1776515670.398079,,200,True,327.3674839629093,
baseline-00075,768x768_20,768,768,20,700075,1776515343.0309274,,1776515670.7261999,,200,True,327.6952738070395,
baseline-00076,1536x1536_35,1536,1536,35,700076,1776515343.0312479,,1776515658.6496587,,200,True,315.6184129099129,
baseline-00077,1024x1024_25,1024,1024,25,700077,1776515343.0315642,,1776515749.5378537,,200,True,406.5062912199646,
baseline-00078,768x768_20,768,768,20,700078,1776515343.0318806,,1776515891.129384,,200,True,548.0975055129966,
baseline-00079,768x768_20,768,768,20,700079,1776515343.032196,,1776515610.3344626,,200,True,267.3022732839454,
baseline-00080,1024x1024_25,1024,1024,25,700080,1776515343.0325074,,1776515694.5100274,,200,True,351.4775254280539,
baseline-00081,768x768_20,768,768,20,700081,1776515343.0328176,,1776515687.03914,,200,True,344.0063237029826,
baseline-00082,1024x1024_25,1024,1024,25,700082,1776515343.0331376,,1776515682.1277835,,200,True,339.0946496409597,
baseline-00083,1536x1536_35,1536,1536,35,700083,1776515343.0334554,,1776515832.389008,,200,True,489.3555546379648,
baseline-00084,768x768_20,768,768,20,700084,1776515343.0337694,,1776515907.4595954,,200,True,564.4258275619941,
baseline-00085,768x768_20,768,768,20,700085,1776515343.0340846,,1776515627.3425007,,200,True,284.3084195239935,
baseline-00086,1536x1536_35,1536,1536,35,700086,1776515343.0344,,1776515777.2291515,,200,True,434.19475277292076,
