req_type,count,success_count,success_rate,mean_e2e_s,p99_e2e_s
1024x1024_25,218,218,1.0,1171.9994214474636,2597.5463920402854
1536x1536_35,83,83,1.0,1515.7502959338747,2589.272536804659
512x512_20,68,68,1.0,607.909118167171,1781.934820042178
768x768_20,131,131,1.0,653.7744697208805,1760.234792481223
